# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 1.1233744237713756,3.961410902605323,4.699918318073505,6.230596436137896,3.3701232713141276,2.9999999999999525,-0.09821548610756942,0.0,-18.96057440451496,0.0
 1.1280507205957138,3.977112750621005,4.701607984890154,6.141931162262436,3.3841521617871417,2.9999999999999525,-0.09869239360257259,0.0,-19.131515955463335,0.0
 1.1327293290287885,3.992890268173541,4.703280865188886,6.052422290375701,3.3981879870863665,3.000000000000095,-0.09913205669465347,0.0,-19.296012926757886,0.0
 1.137410461425294,4.008744282098407,4.7049365856032335,5.962095099140867,3.412231384275883,3.0,-0.09953512630494203,0.0,-19.454107410398823,0.0
 1.142094327112883,4.0246756192310755,4.706574772766729,5.87097467295863,3.4262829813386495,2.9999999999999525,-0.09990226075312794,0.0,-19.60584493157693,0.0
 1.1467811324483055,4.0406851064070235,4.7081950533129024,5.7790858943278485,3.440343397344917,2.9999999999999525,-0.10023412492156865,0.0,-19.751274305197295,0.0
 1.1514710808716881,4.056773570461724,4.70979705387529,5.686453436540389,3.4544132426150647,2.9999999999999525,-0.10053138934131672,0.0,-19.890447517030385,0.0
 1.1561643729590332,4.072941838230653,4.711380401087421,5.593101756594959,3.4684931188770993,2.9999999999999054,-0.10079472965726317,0.0,-20.02341955768048,0.0
 1.1608612064730035,4.089190736549283,4.712944721582829,5.499055088552156,3.4825836194190103,3.0,-0.10102482586556819,0.0,-20.15024831218473,0.0
 1.165561776412071,4.105521092253091,4.714489641995047,5.404337437071157,3.4966853292362123,2.999999999999953,-0.10122236141257485,0.0,-20.270994408388578,0.0
 1.1702662750580828,4.121933732177551,4.716014788957605,5.3089725713235785,3.510798825174248,3.0,-0.10138802247581438,0.0,-20.384604130458428,0.0
 1.174975150026599,4.138429483158137,4.7175197891040375,5.212984019190549,3.5245391812743887,2.9179700442270096,-0.10152249740828513,0.0,-20.410046908144803,0.0
 1.1797075721457264,4.155009172030325,4.719004269067877,5.116395061750017,3.5103419149170065,-3.0,-0.10162647621209729,0.0,-20.347849600150028,0.0
 1.1844828351648164,4.171673625629588,4.720467855482654,5.019228728036416,3.4960161258597364,-3.0,-0.10170064940304405,0.0,-20.278791436934778,0.0
 1.1893017090194005,4.188423670791403,4.721910174981902,4.921507790178408,3.4815595042959844,-3.0,-0.10174570804198681,0.0,-20.203068117472714,0.0
 1.1941649818112405,4.205260134351243,4.723330854199154,4.823254758691012,3.466969685920464,-3.0,-0.10176234228611811,0.0,-20.12087390911684,0.0
 1.1990734604872402,4.222183843144582,4.724729519767941,4.724491878165634,3.4522442498924653,-3.0,-0.10175124176642378,0.0,-20.03240151871605,0.0
 1.2040279715519278,4.239195624006896,4.726105798321796,4.625241123188891,3.4373807166984025,-3.0,-0.10171309428258135,0.0,-19.937841960364448,0.0
 1.2090293618155838,4.25629630377366,4.727459316494252,4.525524194530011,3.4223765459074342,-3.0,-0.10164858550981545,0.0,-19.837384424585192,0.0
 1.2140784991802398,4.273486709280348,4.728789700918839,4.425362515614793,3.407229133813466,-3.000000000000044,-0.10155839850668694,0.0,-19.731216153767004,0.0
 1.2191762734659346,4.290767667362436,4.730096578229092,4.324777229280635,3.3919358109563817,-3.0,-0.10144321320113926,0.0,-19.619522335200497,0.0
 1.2243235972797972,4.308140004855397,4.731379575058542,4.223789194748047,3.3764938395147936,-3.000000000000043,-0.10130370590937407,0.0,-19.502485983224968,0.0
 1.2295214069307254,4.325604548594705,4.732638318040721,4.122418984887348,3.360900410562009,-3.0000000000000426,-0.10114054878408339,0.0,-19.380287838286176,0.0
 1.234770663392632,4.343162125415837,4.733872433809163,4.020686883718613,3.345152641176289,-2.999999999999958,-0.10095440955010955,0.0,-19.253106264501966,0.0
 1.2400723533194709,4.3608135621542665,4.735081548997399,3.9186128841757473,3.329247571395773,-2.9999999999999583,-0.10074595071165017,0.0,-19.12111716338475,0.0
 1.2454274901155085,4.3785596856454685,4.73626529023896,3.8162166860727593,3.31318216100766,-3.0000000000000413,-0.10051582974219976,0.0,-18.98449387314879,0.0
 1.2508371150645787,4.396401322724918,4.737423284167383,3.713517694371102,3.296953286160449,-3.000000000000041,-0.10026469819744518,0.0,-18.843407103676277,0.0
 1.2563022985223642,4.414339300228089,4.738555157416195,3.6105350175797732,3.280557735787093,-2.9999999999999187,-0.09999320141503902,0.0,-18.698024833882883,0.0
 1.2618241411760802,4.432374444990456,4.739660536618931,3.5072874665117975,3.263992207825945,-3.0,-0.09970197851539826,0.0,-18.54851226512662,0.0
 1.2674037753762981,4.450507583847494,4.740739048409123,3.4037935531141357,3.247253305225291,-3.00000000000004,-0.09939166175300462,0.0,-18.395031729306496,0.0
 1.2730423665460482,4.468739543634679,4.741790319420304,3.300071489637996,3.2303375317160405,-3.0000000000000395,-0.09906287623458791,0.0,-18.237742640550323,0.0
 1.2787411146727705,4.487071151187484,4.742813976286006,3.1961391879295156,3.2132412873358733,-3.000000000000039,-0.0987162397927314,0.0,-18.076801425803684,0.0
 1.2845012558891804,4.5055032333413845,4.74380964563976,3.0920142589758868,3.1959608636866434,-3.0000000000000386,-0.09835236260156167,0.0,-17.912361474325248,0.0
 1.2903240641496285,4.524036616931855,4.7447769541151,2.987714012619053,3.178492438905299,-3.0,-0.09797184690898918,0.0,-17.744573083818842,0.0
 1.2962108530091334,4.54267212879437,4.745715528345557,2.883255457472558,3.1608320723267846,-2.9999999999999623,-0.0975752869196872,0.0,-17.573583413296678,0.0
 1.3021629775129036,4.561410595764404,4.746624994964664,2.7786553010192265,3.1429756988154742,-3.0,-0.09716326851639384,0.0,-17.399536436802986,0.0
 1.3081818362048874,4.580252844677433,4.747504980605954,2.6739299499000855,3.1249191227395228,-3.0,-0.09673636900312191,0.0,-17.22257290711265,0.0
 1.3142688732646708,4.599199702368931,4.748355111902958,2.569095510349669,3.1066580115601723,-3.0000000000000364,-0.09629515703668064,0.0,-17.042830311411052,0.0
 1.3204255807829295,4.618251995674371,4.74917501548921,2.4641677888389975,3.0881878890053964,-2.999999999999964,-0.09584019235886632,0.0,-16.860442844275205,0.0
